,MUNICIPALITY_NAME,geometry
482,RETORBIDO,POINT (9.0493464 44.9462939)
483,BRESSANA BOTTARONE,POINT (9.1249625 45.0835699)
484,REDAVALLE,POINT (9.2071101 45.0477769)
485,ARCONATE,POINT (8.8407426 45.5426549)
486,ZENEVREDO,POINT (9.3394976 45.0554438)
487,SESTO ED UNITI,POINT (9.9264721 45.1864731)
488,CASTEL ROZZONE,POINT (9.6193732 45.5526785)
489,BORGO SAN GIACOMO,POINT (9.984 45.3456379)
490,ORZIVECCHI,POINT (9.9638149 45.4247299)
491,POZZO D'ADDA,POINT (9.4968806 45.572447)
492,BOLLATE,POINT (9.1158496 45.5496813)
493,VIMODRONE,POINT (9.2871546 45.5153796)
494,CORMANO,POINT (9.1672034 45.5442534)
495,SAN MARTINO SICCOMARIO,POINT (9.113867 45.158777)
496,MONTALTO PAVESE,POINT (9.2188069 44.9711375)
497,BOFFALORA SOPRA TICINO,POINT (8.8311404 45.4557319)
498,MENCONICO,POINT (9.2760197 44.7991918)
499,AZZANELLO,POINT (9.9198137 45.3109587)
500,SAN ZENONE AL LAMBRO,POINT (9.3670628 45.3231955)
501,VAPRIO D'ADDA,POINT (9.5196327 45.5723032)
502,BURAGO DI MOLGORA,POINT (9.3869708 45.595804)
503,FORNOVO SAN GIOVANNI,POINT (9.6961703 45.4910767)
504,MARTINENGO,POINT (9.7744089 45.5601894)
505,GALLIAVOLA,POINT (8.8244723 45.0949226)
506,CASTELLEONE,POINT (9.7770313 45.2948519)
507,SANTA MARIA DELLA VERSA,POINT (9.3037027 44.9858946)
508,ZINASCO,POINT (9.0301747 45.112747)
509,COMAZZO,POINT (9.4520649 45.4464736)
