,MUNICIPALITY_NAME,geometry
111,ROBBIO,POINT (8.6110842 45.3039027)
112,ARCENE,POINT (9.6107808 45.5742111)
113,TORRE D'ISOLA,POINT (9.0722872 45.2211442)
114,CAPRALBA,POINT (9.639293 45.4296338)
115,ZELO BUON PERSICO,POINT (9.4370728 45.3948654)
116,SORDIO,POINT (9.3723649 45.3390731)
117,COLOGNE,POINT (9.9296905 45.5778525)
118,VAL DI NIZZA,POINT (9.1746432 44.8710265)
119,CALVIGNANO,POINT (9.1644035 44.984333)
120,INVERUNO,POINT (8.8544793 45.5178558)
121,MELETI,POINT (9.8274458 45.1316327)
122,FORMIGARA,POINT (9.7513697 45.2309789)
123,REA,POINT (9.1563921 45.1173459)
124,CANDIA LOMELLINA,POINT (8.5854335 45.1774039)
125,PIETRA DE' GIORGI,POINT (9.2440388 45.017798)
126,BUSSERO,POINT (9.3686043 45.5354726)
127,OZZERO,POINT (8.9198867 45.3635033)
128,COLLI VERDI,POINT (9.2592887 44.9005621)
129,ROSATE,POINT (9.0220779 45.3533288)
130,BRESSO,POINT (9.1947214 45.5365119)
131,PONTIROLO NUOVO,POINT (9.5714514 45.5761494)
132,CASSANO D'ADDA,POINT (9.5161293 45.5295357)
133,VERRETTO,POINT (9.108786 45.0395147)
134,GRAVELLONA LOMELLINA,POINT (8.7769302 45.3378493)
135,PESSANO CON BORNAGO,POINT (9.3854001 45.5510571)
136,LAINATE,POINT (9.0256702 45.5647625)
137,FARA GERA D'ADDA,POINT (9.5464417 45.5450719)
138,IZANO,POINT (9.7530744 45.3530362)
139,MEDE,POINT (8.7352924 45.0932166)
140,CASTELNUOVO BOCCA D'ADDA,POINT (9.8682119 45.1077394)
141,CERRO AL LAMBRO,POINT (9.3271917 45.3324488)
142,NICORVO,POINT (8.6684452 45.283486)
143,ROSASCO,POINT (8.5619113 45.2541157)
144,BARBATA,POINT (9.7713797 45.4566279)
145,PANTIGLIATE,POINT (9.3596581 45.4412577)
146,CASTIGLIONE D'ADDA,POINT (9.7030781 45.2248358)
147,MORNICO LOSANA,POINT (9.208101 45.0060819)
148,GIUSSAGO,POINT (9.153293 45.2783356)
149,BORGO SAN SIRO,POINT (8.9318696 45.2422938)
150,LACCHIARELLA,POINT (9.1575849 45.3193722)
151,VAIANO CREMASCO,POINT (9.5927093 45.3724369)
152,VISTARINO,POINT (9.3089855 45.2088208)
153,PORTALBERA,POINT (9.3163702 45.0945301)
154,ZEME,POINT (8.6760828 45.1956596)
155,CREMA,POINT (9.6843491 45.3660174)
156,CHIGNOLO PO,POINT (9.4922829 45.1435039)
157,RODANO,POINT (9.3483304 45.4746058)
158,ROCCA SUSELLA,POINT (9.0966331 44.9191438)
159,CERTOSA DI PAVIA,POINT (9.1260801 45.2528217)
160,CASSINETTA DI LUGAGNANO,POINT (8.908347 45.4252411)
161,VIZZOLO PREDABISSI,POINT (9.3479848 45.3586332)
