MUNICIPALITY_NAME,geometry
SAN VITTORE OLONA,POINT (8.9461363 45.5827631)
LIMIDO COMASCO,POINT (8.9792834 45.6854242)
CERNOBBIO,POINT (9.0743637 45.8583754)
BORGOCARBONARA,POINT (11.2154005 45.0239339)
CARNAGO,POINT (8.8367619 45.7191931)
CERANO INTELVI,POINT (9.0724293 45.9283253)
MARIANO COMENSE,POINT (9.1726265 45.6961241)
INVERNO E MONTELEONE,POINT (9.3962678 45.1936155)
ALTA VALLE INTELVI,POINT (9.0325653 45.972688)
BREMBATE,POINT (9.5491285 45.6088328)
NOVEDRATE,POINT (9.1334797 45.7001834)
CASTELDIDONE,POINT (10.4017335 45.0684931)
CISLIANO,POINT (8.9905754 45.4408392)
DARFO BOARIO TERME,POINT (10.200848 45.8882285)
ARCISATE,POINT (8.8675095 45.8552715)
BREZZO DI BEDERO,POINT (8.7179869 45.9777026)
BOSISIO PARINI,POINT (9.293595 45.7974174)
SETTALA,POINT (9.3911095 45.4533863)
CORTEOLONA E GENZONE,POINT (9.3610353 45.1668071)
ALFIANELLO,POINT (10.1513999 45.265259)
GRANDATE,POINT (9.058451 45.7711791)
CAPIAGO INTIMIANO,POINT (9.1312704 45.7707369)
DUNO,POINT (8.7343286 45.9202315)
ONORE,POINT (10.0276805 45.8930337)
MARZIO,POINT (8.8608301 45.9370787)
COLZATE,POINT (9.8280946 45.8299412)
RONCOBELLO,POINT (9.7630021 45.9540183)
GAMBARA,POINT (10.3119308 45.2559488)
MADIGNANO,POINT (9.7200292 45.3362226)
VERDELLINO,POINT (9.6100822 45.6032343)
MONTELLO,POINT (9.7993427 45.6722968)
MONIGA DEL GARDA,POINT (10.5763414 45.527009)
MONTANASO LOMBARDO,POINT (9.4628741 45.3371232)
LONGHENA,POINT (10.0596536 45.4352611)
CAMISANO,POINT (9.7480168 45.4481022)
ANTEGNATE,POINT (9.797647 45.486062)
CASTEL MELLA,POINT (10.1453233 45.5010173)
CADEGLIANO - VICONAGO,POINT (8.8317538 45.9645446)
GALLIATE LOMBARDO,POINT (8.7715099 45.7907088)
LIVRAGA,POINT (9.5465425 45.1873896)
USMATE VELATE,POINT (9.3493141 45.6524515)
CRESPIATICA,POINT (9.5758985 45.3493284)
MARIANA MANTOVANA,POINT (10.4878969 45.1857086)
SANTA BRIGIDA,POINT (9.6168678 45.997247)
MONTE ISOLA,POINT (10.0810607 45.7082314)
REZZATO,POINT (10.3140597 45.5077751)
LONATO DEL GARDA,POINT (10.5214569 45.4439408)
ASOLA,POINT (10.4299735 45.2215534)
