"NOME_COM","sum_area","weighted_sum_Altitude","weighted_sum_WE_temp_2m","weighted_sum_WE_wind_speed_10m_mean","weighted_sum_WE_wind_speed_10m_max","weighted_sum_WE_tot_precipitation","weighted_sum_WE_precipitation_t","weighted_sum_WE_surface_pressure","weighted_sum_WE_solar_radiation","weighted_sum_WE_rh_min","weighted_sum_WE_rh_mean","weighted_sum_WE_rh_max","weighted_sum_WE_wind_speed_100m_mean","weighted_sum_WE_wind_speed_100m_max","weighted_sum_WE_blh_layer_max","weighted_sum_WE_blh_layer_min","weighted_sum_EM_nh3_livestock_mm","weighted_sum_EM_nh3_agr_soils","weighted_sum_EM_nh3_agr_waste_burn","weighted_sum_EM_nh3_sum","weighted_sum_EM_nox_traffic","weighted_sum_EM_nox_sum","weighted_sum_EM_so2_sum","weighted_sum_LI_pigs","weighted_sum_LI_bovine","weighted_sum_LA_hvi","weighted_sum_LA_lvi","weighted_sum_LA_land_use"
"ABBADIA CERRETO",6213366.74482173,74.3606882468604,13.6516183812081,1.54550354330147,2.59364250589098,0.00294042836904145,0.331959961932004,100415.682842139,11258595.8624364,57.8675321356372,75.6758418556988,91.3909917189229,2.77464876625339,5.0357484159052,1038.27295438404,40.6811339788253,20.4321474909224,8.17478765961387,0.0754074386858601,29.1490224219921,3.41279389801543,5.8388082949154,0.867115795087733,462.711993019062,192.983613259922,1.66316179551598,2.58501847543486,211
"ABBADIA LARIANA",16618821.0038696,711.64577388647,10.5080042852882,1.03854850761757,1.65141462979859,0.00484052127766051,0.337661539847916,93217.8096201107,11142603.9018549,60.0829031197653,76.3450185026644,91.6381707745768,1.85141474232062,3.28522844071512,946.965237238159,30.643915941861,0.902359049258741,0.857568354538349,0.00518558810299173,2.16318547504177,1.47100792485607,3.44456427812242,0.997379284962113,0.71807289953505,4.52432583342407,2.26819985827791,2.75935479959413,311
"ABBIATEGRASSO",46764834.002922,107.291059235814,13.5429760787147,1.72652153411572,2.91288898534906,0.00338885290629569,0.351638389302986,100351.587060972,11333918.8700652,57.5588843931988,76.3217938218367,92.6002657037892,2.85063618665629,5.24477824142812,1049.77019695602,43.9617340118071,4.71982084526528,5.36205979780468,0.136406337495799,10.8159308577589,3.12647703581258,6.59626861337371,0.937690004378005,43.0403246115943,49.142966591852,1.92190085180441,1.90072191230422,211.944073594354
"ACQUAFREDDA",9551129.77121474,63.3538851866431,14.2220753712127,1.54043223589619,2.58037919433484,0.0027214309007753,0.33059388405793,100632.86595787,11265271.2604015,57.2297259962049,74.6054563474502,90.4403516297885,2.64668535964485,4.73146845752141,1080.33574624903,46.0496536462353,45.6838996388921,7.37765353830686,0.195005309342198,53.5333959380908,2.920686364538,4.94276039714444,0.457122552715134,777.881301505857,283.364001708839,1.77892126450535,2.55441263445552,211
"ACQUANEGRA CREMONESE",9230894.03956535,44.960456933131,14.1650076531414,1.70596736163469,2.88999149862749,0.00277558145874134,0.360655737704918,100977.129293679,11551671.3998725,57.0447391155742,75.3954147014704,91.4921271191847,2.81667051067901,5.05290046976626,1081.68425366226,45.4228073468891,17.5838849707835,6.93877720148425,0.172464909864756,24.8197281212588,1.11434507596134,3.52579620625043,1.98794590670285,589.99273331021,135.995791891109,2.26792368676086,1.7632372717956,211
"ACQUANEGRA SUL CHIESE",28307489.6890535,28.5843881558868,14.2443667801588,1.70201154731459,2.86009427330019,0.00279083226130504,0.348927377308043,101175.498802228,11400351.0526742,57.4969702152591,75.4478458040615,91.2086096590892,2.92249546229672,5.20687418205324,1115.78122615716,49.9767658143223,12.9172274667446,7.2130346776588,0.193367300013175,20.4443186515691,1.65253182291315,2.64516214237969,0.224661468111518,266.617236205423,114.967773736605,2.08526536736395,2.31930353383975,211
"ADRARA SAN MARTINO",12589361.5516276,612.142192766308,11.1808851008127,1.17952180692549,1.85190308875327,0.00390935241107774,0.319672131147541,96057.6440183334,11277154.9924717,63.0128403949925,79.6540166555555,93.4545968964463,1.78756737454904,3.26181639113456,937.043743503808,22.2760869685191,2.70511383626471,1.9718221126198,0.0201694851880724,4.99825425636566,2.5994198869435,3.6640473612462,0.400212082112347,14.5689520885303,23.3720950663935,2.65488938736472,2.66118002395607,311
"ADRARA SAN ROCCO",9337362.32225547,724.154308776855,10.9127434153005,1.15899836065574,1.82545027322404,0.0040980543773224,0.319672131147541,95591.3387978142,11274242.3497268,63.2247540983606,79.8380327868853,93.5277322404372,1.76803715846995,3.22852732240437,935.209918032787,21.7555191256831,2.02610765027322,2.28693551912568,0.0272441803278689,4.51507923497268,1.90737704918033,2.38126775956284,0.21214868852459,5.91477049180328,18.6718579234973,2.71894808743169,2.68041530054645,311
"ADRO",14298744.9979486,291.941099992643,11.9503775829491,1.23550365797436,1.92409616724599,0.00336970537874884,0.319672131147541,97379.5237231809,11288062.0081066,62.4047845598221,79.1232981262981,93.2416197748705,1.84621588829069,3.36117384197997,942.988578017025,23.9049607428789,5.03933075005303,1.07416048934304,0.00107186473661868,6.76314719244429,4.47639393814219,7.17610668955388,0.925592102215825,39.3243212971898,37.3420770120675,2.48018144909548,2.60539483622059,306.951648673682
"AGNADELLO",12172246.5492815,97.8655462646484,13.1790365300546,1.41684535519126,2.38124180327869,0.00304920306830601,0.333333333333333,99661.5846994535,11151486.0655738,58.3654098360656,75.9248633879781,91.5625956284153,2.62798579234973,4.78923224043716,1020.69754098361,38.3875956284153,26.0467213114754,9.37942103825137,0.0603443360655738,35.7816393442623,2.04084972677596,3.74256557377049,0.421393169398907,331.045628415301,266.43087431694,1.82379781420765,2.44440163934426,211
