IDStations,Latitude,Longitude,COM_NAME,REGION
STA-CH0043A,46.0259000, 8.96752000,LUGANO,TICINO
STA.IT0187A,44.8425000,11.61306000,FERRARA,EMILIA-ROMAGNA
STA.IT0499A,46.6194700,10.85906000,LATSCH - LACES,TRENTINO-ALTO ADIGE/SÜDTIROL
STA.IT0544A,44.8238900, 9.83028000,LUGAGNANO VAL D'ARDA,EMILIA-ROMAGNA
STA.IT0591A,45.8924400,11.03941000,ROVERETO,TRENTINO-ALTO ADIGE/SÜDTIROL
STA.IT0643A,44.9066000, 8.61200000,ALESSANDRIA,PIEMONTE
STA.IT0721A,44.6360500,10.90473000,MODENA,EMILIA-ROMAGNA
STA.IT0753A,45.8914700,10.84449000,RIVA DEL GARDA,TRENTINO-ALTO ADIGE/SÜDTIROL
STA.IT0804A,44.7936100,10.33167000,PARMA,EMILIA-ROMAGNA
STA.IT0940A,44.6908330,10.66472200,REGGIO EMILIA,EMILIA-ROMAGNA
STA.IT1026A,44.5727780, 8.94638900,BUSALLA,LIGURIA
STA.IT1105A,44.7883300,10.33667000,PARMA,EMILIA-ROMAGNA
STA.IT1152A,44.7994300,10.88365000,CARPI,EMILIA-ROMAGNA
STA.IT1191A,46.0825300,10.95804000,VALLELAGHI,TRENTINO-ALTO ADIGE/SÜDTIROL
STA.IT1336A,45.4452800,10.96389000,VERONA,VENETO
STA.IT1509A,45.4097000, 8.78610000,CERANO,PIEMONTE
STA.IT1510A,45.9303000, 8.56550000,VERBANIA,PIEMONTE
STA.IT1518A,45.4383000, 8.62060000,NOVARA,PIEMONTE
STA.IT1532A,45.7132000, 8.28350000,BORGOSESIA,PIEMONTE
STA.IT1533A,45.3284000, 8.41510000,VERCELLI,PIEMONTE
STA.IT1535A,45.1836110,11.31138900,LEGNAGO,VENETO
STA.IT1582A,45.1361000, 8.44520000,CASALE MONFERRATO,PIEMONTE
STA.IT1676A,45.4403000, 8.61970000,NOVARA,PIEMONTE
STA.IT1751A,44.5740200, 8.95104000,BUSALLA,LIGURIA
STA.IT1771A,44.6506100,10.90633000,MODENA,EMILIA-ROMAGNA
STA.IT1830A,44.9203000, 8.62320000,ALESSANDRIA,PIEMONTE
STA.IT1878A,45.3189000, 8.40240000,VERCELLI,PIEMONTE
STA.IT1904A,44.7633000, 9.05240000,DERNICE,PIEMONTE
STA.IT1910A,44.9261110,10.37083300,COLORNO,EMILIA-ROMAGNA
STA.IT1914A,44.8730560,10.66388900,GUASTALLA,EMILIA-ROMAGNA
STA.IT1917A,44.7383330,11.29972200,CENTO,EMILIA-ROMAGNA
STA.IT1918A,44.8250000,11.64972200,FERRARA,EMILIA-ROMAGNA
STA.IT1921A,44.9278400,11.17795000,MIRANDOLA,EMILIA-ROMAGNA
STA.IT1923A,45.0488900, 9.69333000,PIACENZA,EMILIA-ROMAGNA
STA.IT1924A,44.9894440,10.01916700,BESENZONE,EMILIA-ROMAGNA
STA.IT1975A,45.0383330, 9.66916700,PIACENZA,EMILIA-ROMAGNA
STA.IT2072A,45.1038890,11.55333300,BADIA POLESINE,VENETO
STA.IT2074A,44.7347300, 9.36693000,CORTE BRUGNATELLA,EMILIA-ROMAGNA
STA.IT2102A,45.8988000, 8.41570000,OMEGNA,PIEMONTE
STA.IT2121A,45.6894000, 8.45840000,BORGOMANERO,PIEMONTE
STA.IT2156A,44.7002780,10.62277800,REGGIO EMILIA,EMILIA-ROMAGNA
STA.IT2243A,45.4330100,11.03009600,VERONA,VENETO
STA.IT2282A,45.4397000, 8.62040000,NOVARA,PIEMONTE
