,MUNICIPALITY_NAME,geometry
87,CASTIGLIONE DELLE STIVIERE,POINT (10.4966374 45.37402)
88,TRIGOLO,POINT (9.8178852 45.3272032)
89,CORSICO,POINT (9.0975482 45.4348457)
90,CASALE LITTA,POINT (8.7339582 45.7608306)
91,BRIGNANO GERA D'ADDA,POINT (9.655011 45.5454777)
92,VILLONGO,POINT (9.9263994 45.675492)
93,URAGO D'OGLIO,POINT (9.8787034 45.5208452)
94,BASSANO BRESCIANO,POINT (10.13058 45.321452)
95,SOVERE,POINT (10.0166387 45.8239057)
96,LURAGO MARINONE,POINT (8.9760012 45.7050962)
97,OME,POINT (10.124211 45.6320281)
98,GUANZATE,POINT (9.0109739 45.7253429)
99,GALBIATE,POINT (9.3744925 45.8093893)
100,CLIVIO,POINT (8.9246889 45.8561009)
101,SELLERO,POINT (10.3245126 46.0643579)
102,BRONI,POINT (9.2453987 45.0747549)
103,GERENZAGO,POINT (9.3659993 45.1971635)
104,BASIANO,POINT (9.4642998 45.5794833)
105,FONTANELLA,POINT (9.8058913 45.452107)
106,GORGONZOLA,POINT (9.4063586 45.5296149)
107,ALZANO LOMBARDO,POINT (9.7141016 45.7529098)
108,TAINO,POINT (8.6205594 45.7644092)
109,VENEGONO INFERIORE,POINT (8.9040039 45.7392423)
110,LODRINO,POINT (10.2710582 45.7141197)
111,BERLINGO,POINT (10.0345966 45.5048127)
112,PONTI SUL MINCIO,POINT (10.686443 45.4096209)
113,MONTE MARENZO,POINT (9.455148 45.7703551)
114,OSNAGO,POINT (9.3846638 45.6752163)
115,TREVIGLIO,POINT (9.5908598 45.5341327)
116,BEREGAZZO CON FIGLIARO,POINT (8.9510661 45.7710139)
117,VILLA D'ALME',POINT (9.6228484 45.7523453)
118,SOLAROLO RAINERIO,POINT (10.3479092 45.0755977)
119,CANONICA D'ADDA,POINT (9.543845 45.5794473)
120,MELEGNANO,POINT (9.3181257 45.3553179)
121,PIEVE FISSIRAGA,POINT (9.4509568 45.2685503)
122,SAN VITTORE OLONA,POINT (8.9461363 45.5827631)
123,LIMIDO COMASCO,POINT (8.9792834 45.6854242)
124,CERNOBBIO,POINT (9.0743637 45.8583754)
125,BORGOCARBONARA,POINT (11.2154005 45.0239339)
126,CARNAGO,POINT (8.8367619 45.7191931)
127,CERANO INTELVI,POINT (9.0724293 45.9283253)
128,MARIANO COMENSE,POINT (9.1726265 45.6961241)
129,INVERNO E MONTELEONE,POINT (9.3962678 45.1936155)
130,ALTA VALLE INTELVI,POINT (9.0325653 45.972688)
131,BREMBATE,POINT (9.5491285 45.6088328)
132,NOVEDRATE,POINT (9.1334797 45.7001834)
133,CASTELDIDONE,POINT (10.4017335 45.0684931)
134,CISLIANO,POINT (8.9905754 45.4408392)
135,DARFO BOARIO TERME,POINT (10.200848 45.8882285)
136,ARCISATE,POINT (8.8675095 45.8552715)
137,BREZZO DI BEDERO,POINT (8.7179869 45.9777026)
138,BOSISIO PARINI,POINT (9.293595 45.7974174)
139,SETTALA,POINT (9.3911095 45.4533863)
140,CORTEOLONA E GENZONE,POINT (9.3610353 45.1668071)
141,ALFIANELLO,POINT (10.1513999 45.265259)
142,GRANDATE,POINT (9.058451 45.7711791)
143,CAPIAGO INTIMIANO,POINT (9.1312704 45.7707369)
144,DUNO,POINT (8.7343286 45.9202315)
145,ONORE,POINT (10.0276805 45.8930337)
146,MARZIO,POINT (8.8608301 45.9370787)
147,COLZATE,POINT (9.8280946 45.8299412)
148,RONCOBELLO,POINT (9.7630021 45.9540183)
149,GAMBARA,POINT (10.3119308 45.2559488)
150,MADIGNANO,POINT (9.7200292 45.3362226)
151,VERDELLINO,POINT (9.6100822 45.6032343)
152,MONTELLO,POINT (9.7993427 45.6722968)
153,MONIGA DEL GARDA,POINT (10.5763414 45.527009)
154,MONTANASO LOMBARDO,POINT (9.4628741 45.3371232)
155,LONGHENA,POINT (10.0596536 45.4352611)
156,CAMISANO,POINT (9.7480168 45.4481022)
157,ANTEGNATE,POINT (9.797647 45.486062)
158,CASTEL MELLA,POINT (10.1453233 45.5010173)
159,CADEGLIANO - VICONAGO,POINT (8.8317538 45.9645446)
160,GALLIATE LOMBARDO,POINT (8.7715099 45.7907088)
161,LIVRAGA,POINT (9.5465425 45.1873896)
162,USMATE VELATE,POINT (9.3493141 45.6524515)
163,CRESPIATICA,POINT (9.5758985 45.3493284)
164,MARIANA MANTOVANA,POINT (10.4878969 45.1857086)
165,SANTA BRIGIDA,POINT (9.6168678 45.997247)
166,MONTE ISOLA,POINT (10.0810607 45.7082314)
167,REZZATO,POINT (10.3140597 45.5077751)
168,LONATO DEL GARDA,POINT (10.5214569 45.4439408)
169,ASOLA,POINT (10.4299735 45.2215534)
170,CARUGATE,POINT (9.3441325 45.5509314)
171,QUINTANO,POINT (9.6206234 45.4215667)
172,MARCIGNAGO,POINT (9.0812293 45.2477162)
173,PIAZZATORRE,POINT (9.6941974 46.0069947)
174,GAVARDO,POINT (10.4477651 45.5914742)
175,BEMA,POINT (9.5891997 46.0787669)
176,CROTTA D'ADDA,POINT (9.8681088 45.1541335)
177,SENAGO,POINT (9.120674 45.5721904)
178,VERGIATE,POINT (8.7032489 45.7327542)
179,TREZZONE,POINT (9.3528753 46.1881183)
180,CROSIO DELLA VALLE,POINT (8.7645258 45.7603249)
181,AGNADELLO,POINT (9.5546963 45.4395009)
182,BUGUGGIATE,POINT (8.8058907 45.7846677)
183,MILANO,POINT (9.1594985 45.4612932)
184,BRUMANO,POINT (9.4982071 45.8539973)
185,BRISSAGO - VALTRAVAGLIA,POINT (8.7387392 45.9496652)
186,BEDERO VALCUVIA,POINT (8.799195 45.9105829)
187,CAPPELLA CANTONE,POINT (9.8348407 45.2420519)
188,SANTA MARGHERITA DI STAFFORA,POINT (9.2437563 44.7364599)
189,CENATE SOPRA,POINT (9.8191511 45.7188953)
190,IRMA,POINT (10.2992951 45.7746384)
191,DEROVERE,POINT (10.2458374 45.1125486)
192,PAGNONA,POINT (9.4068591 46.0757215)
193,SCANDOLARA RIPA D'OGLIO,POINT (10.1487119 45.227069)
194,COLTURANO,POINT (9.342464 45.3777118)
195,SAN DANIELE PO,POINT (10.1775355 45.0536939)
196,ARTOGNE,POINT (10.1997358 45.8371872)
197,RANZANICO,POINT (9.9396027 45.788951)
198,VALGANNA,POINT (8.8246595 45.9006191)
199,TORRE BERETTI E CASTELLARO,POINT (8.6834458 45.0756522)
200,MONTANO LUCINO,POINT (9.0276907 45.7903017)
201,SERLE,POINT (10.3606222 45.5766671)
202,VALMADRERA,POINT (9.3484693 45.8533137)
203,SUISIO,POINT (9.5060124 45.6568889)
204,NOVATE MILANESE,POINT (9.1398661 45.5319971)
205,GREZZAGO,POINT (9.4950436 45.5908299)
206,CAPONAGO,POINT (9.3763726 45.5650727)
207,SONGAVAZZO,POINT (10.0336628 45.8698472)
208,ZERBOLO',POINT (9.0185033 45.21558)
209,ELLO,POINT (9.3621516 45.782361)
210,BOTTANUCO,POINT (9.5146182 45.6374211)
211,MARZANO,POINT (9.2875152 45.2472699)
212,CASTELNOVETTO,POINT (8.6285695 45.2489124)
213,PAULLO,POINT (9.4046151 45.4144688)
214,VALSOLDA,POINT (9.0549618 46.0290988)
215,PREDORE,POINT (10.0223541 45.6849342)
216,SIRMIONE,POINT (10.6123782 45.4784875)
217,SERGNANO,POINT (9.689783 45.4360232)
218,PALESTRO,POINT (8.5321348 45.2899625)
219,SCHIGNANO,POINT (9.097176 45.9200754)
220,GRONE,POINT (9.928975 45.730865)
221,CASTELVISCONTI,POINT (9.9513271 45.300544)
222,TORRAZZA COSTE,POINT (9.0973979 44.9628868)
223,MERLINO,POINT (9.4478646 45.4338415)
224,ISOLA DOVARESE,POINT (10.3118998 45.1736473)
225,MAIRANO,POINT (10.0815548 45.4571392)
226,CALVATONE,POINT (10.4540031 45.1302098)
227,BASCAPE',POINT (9.3252561 45.2989989)
228,SIZIANO,POINT (9.216336 45.3094937)
229,ROCCAFRANCA,POINT (9.9182845 45.4563089)
230,CISANO BERGAMASCO,POINT (9.4687536 45.7501293)
231,TORRE D'ARESE,POINT (9.3202616 45.2369511)
232,SAN DONATO MILANESE,POINT (9.2579214 45.4136302)
233,SIRONE,POINT (9.3234333 45.7756681)
234,CASSINA VALSASSINA,POINT (9.4853285 45.9153376)
235,MESE,POINT (9.3718643 46.3096056)
236,COLONNO,POINT (9.1469943 45.9648346)
237,BORGO SAN GIOVANNI,POINT (9.4206748 45.2744752)
238,LIVIGNO,POINT (10.1291285 46.5234981)
239,ADRARA SAN ROCCO,POINT (9.9703401 45.7299466)
240,SEDRINA,POINT (9.6298924 45.7755083)
241,COSTA MASNAGA,POINT (9.2678587 45.7663297)
242,TRADATE,POINT (8.9161445 45.7163064)
243,BORMIO,POINT (10.4151907 46.492726)
244,LONATE POZZOLO,POINT (8.7377722 45.5880051)
245,BARASSO,POINT (8.7559707 45.8498406)
246,CALVISANO,POINT (10.3518571 45.3568949)
247,VOLTA MANTOVANA,POINT (10.6666422 45.3168525)
248,SUEGLIO,POINT (9.3393794 46.0920412)
