,MUNICIPALITY_NAME,geometry
493,BORGORATTO MORMOROLO,POINT (9.2003805 44.9436213)
494,LANDRIANO,POINT (9.2710877 45.3069822)
495,CAPRIOLO,POINT (9.9403223 45.637755)
496,SARNICO,POINT (9.9702834 45.6750797)
497,ERVE,POINT (9.4542855 45.8250834)
498,SAN GENESIO ED UNITI,POINT (9.1869546 45.2374516)
499,LAVENONE,POINT (10.4294037 45.7617793)
500,BOZZOLO,POINT (10.4872529 45.1038425)
501,ORINO,POINT (8.7179134 45.8806824)
502,VILLIMPENTA,POINT (11.0145806 45.1344073)
503,GOTTOLENGO,POINT (10.2733929 45.3091509)
504,DUBINO,POINT (9.4459651 46.1669206)
505,TRESIVIO,POINT (9.9505372 46.2000665)
506,SPINADESCO,POINT (9.9338007 45.1324332)
507,PALADINA,POINT (9.6134905 45.7290471)
508,ALMENNO SAN SALVATORE,POINT (9.5897753 45.7514808)
509,MONZA,POINT (9.2757063 45.592729)
510,ZOGNO,POINT (9.6779623 45.7965207)
511,SANT'ALESSIO CON VIALONE,POINT (9.230015 45.2246508)
512,BRIOSCO,POINT (9.2492912 45.7146836)
513,SANTA MARIA HOE',POINT (9.3761302 45.7425106)
514,LODI VECCHIO,POINT (9.4189649 45.3010752)
515,DESIO,POINT (9.2048853 45.6162892)
516,PEGLIO,POINT (9.2773631 46.1796308)
517,PESCAROLO ED UNITI,POINT (10.1991888 45.1951534)
518,INZAGO,POINT (9.4787763 45.5404492)
519,BREMBIO,POINT (9.5641852 45.2123219)
520,MISINTO,POINT (9.0792193 45.6586858)
521,PALAZZO PIGNANO,POINT (9.5841041 45.4014133)
522,VALNEGRA,POINT (9.6846592 45.9587662)
523,COSTA VALLE IMAGNA,POINT (9.5020976 45.8021051)
524,SONCINO,POINT (9.8502217 45.4043705)
525,ROMAGNESE,POINT (9.3236745 44.8367761)
526,BOSNASCO,POINT (9.3667852 45.0567946)
527,BERBENNO DI VALTELLINA,POINT (9.7359298 46.1987292)
528,LEFFE,POINT (9.8821244 45.7900837)
529,LOSINE,POINT (10.3087768 45.9798759)
530,CASSANO MAGNAGO,POINT (8.8278807 45.6723567)
531,LA VALLETTA BRIANZA,POINT (9.3624932 45.7287453)
532,SONDALO,POINT (10.3702976 46.3400941)
533,LODI,POINT (9.4972608 45.3151449)
534,TRAVAGLIATO,POINT (10.0764026 45.5193968)
535,VESCOVATO,POINT (10.168769 45.1629689)
536,ROGNANO,POINT (9.0873805 45.2975267)
537,BERTONICO,POINT (9.6800209 45.2451287)
538,GAZZADA SCHIANNO,POINT (8.8321773 45.7810359)
539,VERCEIA,POINT (9.4695694 46.1978439)
540,GALLARATE,POINT (8.7930563 45.6608129)
541,CORTE PALASIO,POINT (9.5682836 45.3096334)
542,CERVIGNANO D'ADDA,POINT (9.4303723 45.3738567)
543,CIGOLE,POINT (10.1859845 45.3139381)
544,BRUNATE,POINT (9.099524 45.8199228)
545,PADERNO PONCHIELLI,POINT (9.9250092 45.2334465)
546,SALE MARASINO,POINT (10.1324362 45.7051998)
547,MONTODINE,POINT (9.6977631 45.2785015)
548,LOZZA,POINT (8.8614467 45.7748154)
549,BLESSAGNO,POINT (9.1033663 45.9668059)
550,VIGEVANO,POINT (8.8849171 45.3077489)
551,CASTEL D'ARIO,POINT (10.9666753 45.1721342)
552,TORRE PALLAVICINA,POINT (9.8595855 45.4469904)
553,PALOSCO,POINT (9.8329256 45.5811568)
554,CAVA MANARA,POINT (9.1124866 45.1263759)
555,SEREGNO,POINT (9.2080052 45.6499801)
556,MOTTA BALUFFI,POINT (10.2440594 45.0458141)
557,FONTENO,POINT (10.0000259 45.7523491)
558,CORVINO SAN QUIRICO,POINT (9.1518749 45.0181118)
559,SAN MARTINO DEL LAGO,POINT (10.3185689 45.0796742)
560,CARUGO,POINT (9.1921141 45.7188105)
561,VIADANICA,POINT (9.9721967 45.6894659)
562,GROSIO,POINT (10.2248222 46.3460096)
563,LOMAZZO,POINT (9.0318001 45.6919312)
564,POZZAGLIO ED UNITI,POINT (10.0427491 45.2109525)
565,CAPIZZONE,POINT (9.5763726 45.7889862)
566,CETO,POINT (10.4034678 45.9938394)
567,ENDINE GAIANO,POINT (9.9792698 45.7831688)
568,PAVONE DEL MELLA,POINT (10.219999 45.3025036)
569,MACLODIO,POINT (10.0401079 45.4804271)
570,CASAZZA,POINT (9.9061547 45.7493147)
571,BARZANA,POINT (9.5689569 45.7311245)
572,PALAZZOLO SULL'OGLIO,POINT (9.8923022 45.5883486)
573,SAN DAMIANO AL COLLE,POINT (9.3521659 45.0334189)
574,CADREZZATE CON OSMATE,POINT (8.6495516 45.7946394)
575,VALVESTINO,POINT (10.5956144 45.7629535)
576,GENIVOLTA,POINT (9.8785945 45.3435692)
577,VESTONE,POINT (10.3984039 45.709664)
578,BERZO SAN FERMO,POINT (9.9128351 45.7148882)
579,CASTANA,POINT (9.2800211 45.0253599)
580,CASALMORANO,POINT (9.9088258 45.2928974)
581,CERCINO,POINT (9.5074906 46.1624133)
582,CEDEGOLO,POINT (10.3864315 46.0647716)
583,ESINE,POINT (10.2597511 45.8895027)
584,BELLINZAGO LOMBARDO,POINT (9.4451777 45.5343105)
585,GRAVEDONA ED UNITI,POINT (9.2191183 46.1576602)
586,IMBERSAGO,POINT (9.4455355 45.7082277)
587,SAN ROCCO AL PORTO,POINT (9.6924485 45.0827379)
588,LONATE CEPPINO,POINT (8.8809616 45.7102505)
589,SAN GIACOMO DELLE SEGNATE,POINT (11.0115592 44.9669582)
590,TORRICELLA DEL PIZZO,POINT (10.2858747 45.0149126)
591,MEZZANA RABATTONE,POINT (9.0372615 45.099714)
592,VARESE,POINT (8.8034482 45.8312096)
593,VELLEZZO BELLINI,POINT (9.1035868 45.2738396)
594,LUMEZZANE,POINT (10.2724752 45.6498683)
595,PIOLTELLO,POINT (9.3254903 45.48748)
596,INDUNO OLONA,POINT (8.8383755 45.8599878)
597,MESERO,POINT (8.8511309 45.4940509)
598,SAN GIOVANNI BIANCO,POINT (9.6488706 45.8849662)
599,CORNEGLIANO LAUDENSE,POINT (9.480608 45.2860962)
600,VALERA FRATTA,POINT (9.3347463 45.2545242)
601,ALBESE CON CASSANO,POINT (9.1634826 45.8116131)
602,VILLASANTA,POINT (9.3104702 45.6072424)
603,BRUNELLO,POINT (8.7991507 45.7660106)
604,PAGAZZANO,POINT (9.6742589 45.5359938)
605,GORLA MAGGIORE,POINT (8.9053247 45.6662714)
606,MASLIANICO,POINT (9.0478014 45.8460475)
607,VILLA BISCOSSI,POINT (8.7874322 45.0861029)
608,BARZAGO,POINT (9.3177465 45.7540728)
609,VIGANO',POINT (9.3288478 45.7221888)
610,SONDRIO,POINT (9.8614148 46.1846496)
611,BESOZZO,POINT (8.6464759 45.8508932)
612,SPIRANO,POINT (9.6691233 45.5821261)
613,FLERO,POINT (10.1699505 45.4799108)
614,GARBAGNATE MILANESE,POINT (9.0757857 45.5737152)
615,PIANENGO,POINT (9.7000668 45.4055792)
616,SAN PAOLO,POINT (10.0319619 45.3726734)
617,TREZZO SULL'ADDA,POINT (9.5045439 45.613357)
618,PIEVE D'OLMI,POINT (10.1298425 45.0721178)
619,RIVOLTA D'ADDA,POINT (9.515007 45.4613658)
620,TRUCCAZZANO,POINT (9.4723999 45.479425)
621,CASNIGO,POINT (9.8715959 45.8202086)
622,CANTELLO,POINT (8.891495 45.8271418)
623,CERGNAGO,POINT (8.7613763 45.1971544)
624,SUZZARA,POINT (10.7358249 45.0006224)
625,GODIASCO SALICE TERME,POINT (9.0646766 44.8900952)
626,BORGO PRIOLO,POINT (9.1491435 44.9566503)
627,FERRERA ERBOGNONE,POINT (8.8544594 45.1009971)
628,CARAVATE,POINT (8.6534927 45.8774431)
629,PANDINO,POINT (9.5396303 45.4096776)
630,CELLA DATI,POINT (10.2139217 45.088516)
631,TIRANO,POINT (10.1810014 46.2190123)
632,ALBUZZANO,POINT (9.2680622 45.1885882)
633,VIMERCATE,POINT (9.3657973 45.6127044)
634,ZIBIDO SAN GIACOMO,POINT (9.1091137 45.3734049)
635,TORRICELLA VERZATE,POINT (9.1721607 45.0245011)
636,MONZAMBANO,POINT (10.6644874 45.3822332)
637,PIEVE PORTO MORONE,POINT (9.4589364 45.1118075)
638,VELESO,POINT (9.1877402 45.9160482)
639,PADERNO DUGNANO,POINT (9.1691248 45.5719081)
640,CAVERNAGO,POINT (9.7621073 45.6218785)
641,GERMIGNAGA,POINT (8.7273762 45.9871411)
642,GRUMELLO CREMONESE ED UNITI,POINT (9.864717 45.2008177)
643,GONZAGA,POINT (10.8215055 44.9527127)
644,CARONA,POINT (9.83758 46.0270887)
645,BASIGLIO,POINT (9.1655594 45.3483485)
646,CASCIAGO,POINT (8.7711728 45.8327324)
647,COSTA SERINA,POINT (9.7455538 45.8225379)
648,SAN BASSANO,POINT (9.8009194 45.2389048)
649,CERETE,POINT (9.9986533 45.854489)
650,LAVENO - MOMBELLO,POINT (8.60826 45.9093826)
651,AVIATICO,POINT (9.7911409 45.7907963)
652,CAGLIO,POINT (9.2251746 45.871164)
653,VERTOVA,POINT (9.8147075 45.8306046)
654,CAMPOSPINOSO,POINT (9.2427306 45.1113335)
655,UBIALE CLANEZZO,POINT (9.6089907 45.7809888)
656,SAN GIULIANO MILANESE,POINT (9.2779177 45.3805448)
657,ROVELLO PORRO,POINT (9.0386019 45.6571552)
658,PONTE LAMBRO,POINT (9.2210507 45.828731)
659,RIPALTA CREMASCA,POINT (9.6835449 45.3285855)
660,VANZAGO,POINT (8.98542 45.51984)
661,CASTELLANZA,POINT (8.9002124 45.6091993)
662,GRASSOBBIO,POINT (9.7240696 45.649806)
663,MARCALLO CON CASONE,POINT (8.8644971 45.4869129)
664,INTROBIO,POINT (9.4791181 45.9973727)
665,PIARIO,POINT (9.9226666 45.8928837)
666,CUSANO MILANINO,POINT (9.1839256 45.5525467)
667,PARATICO,POINT (9.9576695 45.6566391)
668,CASIRATE D'ADDA,POINT (9.552903 45.4999622)
669,POLPENAZZE DEL GARDA,POINT (10.4986849 45.5461775)
670,CORTENUOVA,POINT (9.8004543 45.5335113)
671,VEDANO AL LAMBRO,POINT (9.2690366 45.6126984)
672,FERNO,POINT (8.7424443 45.6197179)
673,CHIUDUNO,POINT (9.8517368 45.6512305)
674,PONTEVICO,POINT (10.0994751 45.2784787)
675,ARESE,POINT (9.0725665 45.5489711)
676,TAVERNOLA BERGAMASCA,POINT (10.0442903 45.7001737)
677,CASTELBELFORTE,POINT (10.895661 45.2182431)
678,VAL BREMBILLA,POINT (9.5966574 45.8245182)
679,BAGNOLO MELLA,POINT (10.1849384 45.4202341)
680,ISSO,POINT (9.7431705 45.4702668)
681,PIZZIGHETTONE,POINT (9.7963225 45.1913075)
682,CIMBERGO,POINT (10.4064876 46.025573)
683,STRADELLA,POINT (9.3096521 45.0789631)
684,CAMPODOLCINO,POINT (9.3493153 46.4042956)
685,ZERBO,POINT (9.4018785 45.1074084)
686,MAGNACAVALLO,POINT (11.178536 45.0008441)
687,LANZADA,POINT (9.9114445 46.3126009)
688,POZZOLENGO,POINT (10.6202818 45.413014)
689,PROVAGLIO D'ISEO,POINT (10.0522784 45.6311328)
690,VOGHERA,POINT (9.0152132 45.0140292)
691,SAN PELLEGRINO TERME,POINT (9.6582463 45.8402349)
692,MONTICELLI PAVESE,POINT (9.510311 45.1075701)
693,GERENZANO,POINT (8.9903523 45.6329439)
694,CARPENEDOLO,POINT (10.4341456 45.3519243)
695,ROTA D'IMAGNA,POINT (9.5105682 45.8359535)
696,VALBRONA,POINT (9.3034588 45.8810324)
697,ONETA,POINT (9.8085301 45.8748855)
698,ALBAVILLA,POINT (9.1909781 45.8098788)
699,DUMENZA,POINT (8.7970507 46.0308562)
700,URGNANO,POINT (9.7083785 45.6018636)
701,CASTENEDOLO,POINT (10.2984224 45.4654188)
702,VILLANOVA DEL SILLARO,POINT (9.4703298 45.2415249)
703,VALDIDENTRO,POINT (10.2821375 46.508909)
704,FOPPOLO,POINT (9.7608402 46.0480525)
705,SUARDI,POINT (8.7429617 45.0267149)
706,RUDIANO,POINT (9.8942757 45.4854735)
707,OSTIANO,POINT (10.256203 45.2208366)
708,SOMAGLIA,POINT (9.640465 45.1515392)
709,BESNATE,POINT (8.7615188 45.7013909)
710,BUSTO GAROLFO,POINT (8.886681 45.5422464)
711,ALMENNO SAN BARTOLOMEO,POINT (9.569563 45.7480268)
712,CASLINO D'ERBA,POINT (9.2244185 45.8469811)
713,SOTTO IL MONTE GIOVANNI XXIII,POINT (9.5106908 45.7062593)
714,PIAZZA BREMBANA,POINT (9.6577132 45.9491572)
715,ORSENIGO,POINT (9.1730604 45.7778929)
716,CARIMATE,POINT (9.1097444 45.7075126)
717,ESINO LARIO,POINT (9.3514908 45.984062)
718,PESCHIERA BORROMEO,POINT (9.3043476 45.4423896)
719,MEDOLE,POINT (10.5170054 45.3230455)
720,SOLBIATE OLONA,POINT (8.8727627 45.649743)
721,RODERO,POINT (8.9182082 45.8244307)
722,SENIGA,POINT (10.1893966 45.246607)
723,TURANO LODIGIANO,POINT (9.6308167 45.2515276)
724,BESATE,POINT (8.9668646 45.3036192)
725,CASSAGO BRIANZA,POINT (9.2869921 45.73419)
726,LURANO,POINT (9.6416132 45.5685443)
727,LOCATE DI TRIULZI,POINT (9.2256433 45.3589707)
728,DOVERA,POINT (9.5362619 45.3655233)
729,AIRUNO,POINT (9.4209479 45.7558796)
730,ABBADIA CERRETO,POINT (9.5939256 45.3199052)
731,CARPIANO,POINT (9.2733049 45.3458591)
732,CAPO DI PONTE,POINT (10.3130353 46.0457042)
733,BRALLO DI PREGOLA,POINT (9.2835604 44.7218536)
734,CASALMORO,POINT (10.4137704 45.2710672)
735,PERSICO DOSIMO,POINT (10.0801957 45.1813514)
736,MALEGNO,POINT (10.2729038 45.9592413)
737,MACCASTORNA,POINT (9.8539401 45.1440654)
738,GAMBOLO',POINT (8.8810066 45.2560625)
739,TACENO,POINT (9.3612157 46.0139951)
740,ADRARA SAN MARTINO,POINT (9.9618999 45.7158824)
741,CARONNO VARESINO,POINT (8.8285691 45.7414352)
742,COSTA DE' NOBILI,POINT (9.3847885 45.1351997)
743,MONTICELLI BRUSATI,POINT (10.0977384 45.6359186)
744,LOCATE VARESINO,POINT (8.921228 45.6942692)
745,CASTELGERUNDO,POINT (9.740275 45.1992288)
746,CASALETTO CEREDANO,POINT (9.6185664 45.3108931)
747,BRUSAPORTO,POINT (9.7623057 45.6707945)
748,PIAN CAMUNO,POINT (10.1642269 45.8305144)
749,GARBAGNATE MONASTERO,POINT (9.3043717 45.7675249)
750,MONTICHIARI,POINT (10.3880848 45.4111469)
751,CAROBBIO DEGLI ANGELI,POINT (9.849277 45.6595301)
752,PROSERPIO,POINT (9.2529156 45.8305649)
753,VIONE,POINT (10.4401076 46.2600202)
754,PIEVE DEL CAIRO,POINT (8.8147063 45.0527771)
755,MOGLIA,POINT (10.9233205 44.952996)
756,PONCARALE,POINT (10.182875 45.4584157)
757,LISCATE,POINT (9.4072753 45.4721082)
758,VIDIGULFO,POINT (9.2351933 45.2910487)
759,PIEVE ALBIGNOLA,POINT (8.9639517 45.1029166)
760,CASSOLNOVO,POINT (8.793797 45.3690734)
761,BULCIAGO,POINT (9.2885643 45.7550685)
762,GAZZUOLO,POINT (10.5665297 45.0689399)
763,GAMBARANA,POINT (8.7698299 45.0423218)
764,PERLEDO,POINT (9.3012149 46.0180688)
765,MOTTA VISCONTI,POINT (8.9892975 45.2833694)
766,ORZINUOVI,POINT (9.9572339 45.3980011)
767,BAGNATICA,POINT (9.7662758 45.6568337)
768,SAN MARTINO DALL'ARGINE,POINT (10.5349121 45.0965056)
769,CUGLIATE - FABIASCO,POINT (8.8221449 45.9435251)
770,ISPRA,POINT (8.6115322 45.8112939)
771,CORNO GIOVINE,POINT (9.775594 45.1304633)
772,ABBADIA LARIANA,POINT (9.3566953 45.8964877)
773,BUSCATE,POINT (8.8148577 45.5441042)
774,LOMAGNA,POINT (9.3689965 45.6690623)
775,SIRTORI,POINT (9.3359058 45.7349247)
776,CASTIGLIONE OLONA,POINT (8.8671888 45.7538016)
777,MONTESEGALE,POINT (9.1261892 44.9068788)
778,CARNATE,POINT (9.3809613 45.6469554)
779,OSIO SOTTO,POINT (9.5865322 45.6134389)
780,GANDELLINO,POINT (9.9366567 46.007283)
781,LAVENA PONTE TRESA,POINT (8.8643645 45.959577)
782,CASNATE CON BERNATE,POINT (9.0740275 45.7604096)
783,CERNUSCO SUL NAVIGLIO,POINT (9.3334499 45.5241417)
784,CORNALBA,POINT (9.7590475 45.8556365)
785,PREGNANA MILANESE,POINT (9.0040849 45.5164973)
786,ZELBIO,POINT (9.1931199 45.9022487)
787,VALGREGHENTINO,POINT (9.4032507 45.7731945)
788,BEDIZZOLE,POINT (10.4169871 45.4989287)
789,PADERNO D'ADDA,POINT (9.4525741 45.6743742)
790,CARLAZZO,POINT (9.1551533 46.054346)
791,ROVATO,POINT (10.0119759 45.5480507)
792,AROSIO,POINT (9.2139388 45.7219982)
793,CASTEGGIO,POINT (9.1346613 45.0099693)
794,OLGIATE COMASCO,POINT (8.9682114 45.7821966)
795,FORTUNAGO,POINT (9.1864556 44.9109555)
796,PERTICA BASSA,POINT (10.3793804 45.7579346)
797,PRESEZZO,POINT (9.5701025 45.693909)
798,ACQUANEGRA CREMONESE,POINT (9.8895497 45.1762854)
799,ROBECCHETTO CON INDUNO,POINT (8.75923 45.5201088)
800,ANDALO VALTELLINO,POINT (9.4751339 46.1172945)
801,GRIANTE,POINT (9.2416741 45.9947736)
802,CREDERA RUBBIANO,POINT (9.648122 45.2960354)
803,CAVARGNA,POINT (9.0970991 46.1056525)
804,INARZO,POINT (8.7278827 45.7838368)
805,BLEVIO,POINT (9.1043108 45.8391599)
806,RIVA DI SOLTO,POINT (10.0327929 45.7652241)
807,PERTICA ALTA,POINT (10.34253 45.7490096)
808,BORGO VIRGILIO,POINT (10.7760154 45.0880323)
809,CAVRIANA,POINT (10.6167459 45.3344914)
810,ONO SAN PIETRO,POINT (10.2946709 46.0378662)
811,DORNO,POINT (8.9464651 45.1465506)
812,BREME,POINT (8.6209269 45.1303508)
813,CUVEGLIO,POINT (8.7473395 45.9110597)
814,VALLE SALIMBENE,POINT (9.2333035 45.160116)
815,TELGATE,POINT (9.8508251 45.619664)
816,MORTERONE,POINT (9.4834971 45.8795056)
817,CASTEGNATO,POINT (10.115266 45.5564573)
818,COGLIATE,POINT (9.0880612 45.6455111)
819,TRESCORE CREMASCO,POINT (9.6187162 45.3983498)
820,VILLA DI SERIO,POINT (9.7464976 45.7245297)
821,SAN GIOVANNI DEL DOSSO,POINT (11.0657449 44.9742452)
822,GAVIRATE,POINT (8.7250256 45.8439965)
823,MERATE,POINT (9.4172711 45.6985607)
824,GUIDIZZOLO,POINT (10.5706811 45.3106099)
825,CANZO,POINT (9.290514 45.8487505)
826,CUASSO AL MONTE,POINT (8.8674783 45.9090574)
827,FRASCAROLO,POINT (8.6907624 45.0405971)
828,GERRE DE'CAPRIOLI,POINT (10.0397415 45.0896695)
829,BOTTICINO,POINT (10.313434 45.549594)
830,CIVIDATE AL PIANO,POINT (9.8290707 45.5465091)
831,VALEGGIO,POINT (8.8727761 45.1497608)
832,BIZZARONE,POINT (8.9455487 45.8359393)
833,FIESCO,POINT (9.7798382 45.3347962)
834,PESCATE,POINT (9.3953704 45.8322457)
835,MANDELLO DEL LARIO,POINT (9.3448081 45.9177741)
836,PIEVE EMANUELE,POINT (9.1986975 45.353292)
837,TORRE DE' PICENARDI,POINT (10.2929741 45.1242285)
838,SAN ZENONE AL PO,POINT (9.3709248 45.1137894)
839,MONTIRONE,POINT (10.2296161 45.4472335)
840,MOZZANICA,POINT (9.693869 45.467309)
841,VALBREMBO,POINT (9.607549 45.7185327)
842,BODIO LOMNAGO,POINT (8.7512686 45.7912324)
843,POZZUOLO MARTESANA,POINT (9.4606411 45.5106604)
844,SUSTINENTE,POINT (11.0270769 45.0804366)
845,VEZZA D'OGLIO,POINT (10.3896882 46.2677146)
846,OLGIATE MOLGORA,POINT (9.4037077 45.7267118)
847,MARGNO,POINT (9.3899904 46.029714)
848,FIESSE,POINT (10.3332223 45.2278097)
849,SANT'OMOBONO TERME,POINT (9.5185573 45.8176596)
850,GANDINO,POINT (9.9288938 45.8269672)
851,GORNO,POINT (9.8439459 45.8733407)
852,PIADENA DRIZZONA,POINT (10.3696382 45.1348515)
853,LOVERO,POINT (10.2308044 46.2295306)
854,TROMELLO,POINT (8.8504104 45.2044497)
855,BREBBIA,POINT (8.6334134 45.8289562)
856,MONTESCANO,POINT (9.2895705 45.0272328)
857,BERNATE TICINO,POINT (8.8135319 45.4775494)
858,OSPITALETTO,POINT (10.0777621 45.552444)
859,GIUSSANO,POINT (9.2142814 45.6911637)
860,CAPRIANO DEL COLLE,POINT (10.1394852 45.4491189)
861,VILLANOVA D'ARDENGHI,POINT (9.0392587 45.167114)
862,CIVATE,POINT (9.3278834 45.8268388)
863,BARIANO,POINT (9.7069974 45.5137613)
864,ANNONE DI BRIANZA,POINT (9.3305397 45.8026376)
865,CASSANO VALCUVIA,POINT (8.7611254 45.9313021)
866,QUINGENTOLE,POINT (11.0413916 45.0347101)
867,BRACCA,POINT (9.7052224 45.8218701)
868,PARRE,POINT (9.8829154 45.9019189)
869,MAPELLO,POINT (9.5408583 45.7088081)
870,ANFO,POINT (10.4785931 45.7831307)
871,AZZANO SAN PAOLO,POINT (9.6813617 45.6584406)
872,BAGNOLO CREMASCO,POINT (9.6105525 45.3647304)
873,BORGHETTO LODIGIANO,POINT (9.5042865 45.2103443)
874,STAGNO LOMBARDO,POINT (10.0808412 45.0638845)
875,BEREGUARDO,POINT (9.0123942 45.2526681)
876,CORTE FRANCA,POINT (10.0012452 45.6289996)
877,CASTELLO CABIAGLIO,POINT (8.7603309 45.8860637)
878,CENTRO VALLE INTELVI,POINT (9.0612509 45.9444093)
879,LUINO,POINT (8.7512405 46.0002692)
880,MAGENTA,POINT (8.8621995 45.4511957)
881,CASOREZZO,POINT (8.9073754 45.5268241)
882,CERETTO LOMELLINA,POINT (8.6708047 45.2476798)
883,PIEVE SAN GIACOMO,POINT (10.1913054 45.1267696)
884,PIERANICA,POINT (9.6096613 45.428748)
885,VALFURVA,POINT (10.5119807 46.4171927)
886,ROZZANO,POINT (9.1638306 45.381658)
887,VERVIO,POINT (10.2063809 46.2595763)
888,BENE LARIO,POINT (9.1729789 46.0233903)
889,CHIAVENNA,POINT (9.4056066 46.3293014)
890,RESCALDINA,POINT (8.9539237 45.6241661)
891,MORIMONDO,POINT (8.9546753 45.3515969)
892,OSIO SOPRA,POINT (9.5855355 45.6308457)
893,MANERBA DEL GARDA,POINT (10.5800564 45.5523568)
894,MORENGO,POINT (9.7126846 45.539343)
895,AICURZIO,POINT (9.4146263 45.6444145)
896,BIANZANO,POINT (9.8974405 45.7745493)
897,MILZANO,POINT (10.1928441 45.2731537)
898,OLIVETO LARIO,POINT (9.2854392 45.9292601)
899,CASALBUTTANO ED UNITI,POINT (9.9663309 45.2457463)
900,VILLA D'ADDA,POINT (9.4664334 45.7149015)
901,TRONZANO LAGO MAGGIORE,POINT (8.7360544 46.0830524)
902,MUGGIO',POINT (9.2259427 45.5864027)
903,AGRATE BRIANZA,POINT (9.3611525 45.5746724)
904,CERIANO LAGHETTO,POINT (9.08062 45.6294231)
905,MALAGNINO,POINT (10.1194456 45.1275715)
906,CINISELLO BALSAMO,POINT (9.2236748 45.5579341)
907,BADIA PAVESE,POINT (9.4567241 45.1233029)
908,SPRIANA,POINT (9.882448 46.2151001)
909,PARABIAGO,POINT (8.9432965 45.5517035)
910,MARCARIA,POINT (10.5907731 45.1074146)
911,GRAFFIGNANA,POINT (9.448154 45.2076602)
912,SAN GIACOMO FILIPPO,POINT (9.3511048 46.3491595)
913,GORLAGO,POINT (9.8397573 45.6676852)
914,VOBARNO,POINT (10.4961292 45.675284)
915,QUINZANO D'OGLIO,POINT (10.0072502 45.3127619)
916,SOIANO DEL LAGO,POINT (10.5049887 45.5315384)
917,SALVIROLA,POINT (9.7896133 45.3596086)
918,MASATE,POINT (9.4659124 45.5671228)
919,FERRERA DI VARESE,POINT (8.7864868 45.930863)
920,CASALPUSTERLENGO,POINT (9.6247502 45.1971627)
921,TRAVEDONA - MONATE,POINT (8.6702538 45.8045551)
922,PONTE DI LEGNO,POINT (10.5090972 46.268726)
923,PIANICO,POINT (10.0391839 45.8064499)
924,CAPOVALLE,POINT (10.5361708 45.7454937)
925,TOSCOLANO MADERNO,POINT (10.6078566 45.6561145)
926,ROBECCO SUL NAVIGLIO,POINT (8.8701228 45.4252886)
927,MEDA,POINT (9.1591532 45.667246)
928,ROGENO,POINT (9.2697963 45.7874077)
929,PONTIDA,POINT (9.4879174 45.7323796)
930,ALME',POINT (9.614686 45.7385326)
931,CENE,POINT (9.848049 45.7796376)
932,OSPEDALETTO LODIGIANO,POINT (9.584676 45.1705068)
933,SAN GERVASIO BRESCIANO,POINT (10.1514763 45.3002527)
934,SUELLO,POINT (9.3175752 45.8198745)
935,BERNAREGGIO,POINT (9.4027833 45.648456)
936,CICOGNOLO,POINT (10.2034844 45.1634732)
937,SANTO STEFANO LODIGIANO,POINT (9.7436134 45.1156019)
938,CIGOGNOLA,POINT (9.2480645 45.0390517)
939,DOSSENA,POINT (9.7017575 45.8950501)
940,SPINONE AL LAGO,POINT (9.9192104 45.7659825)
941,PRIMALUNA,POINT (9.4273182 45.991147)
942,TRIUGGIO,POINT (9.2755029 45.666662)
943,SOVICO,POINT (9.2608669 45.6458664)
944,SPINEDA,POINT (10.5155158 45.0616744)
945,FARA OLIVANA CON SOLA,POINT (9.7346799 45.4910213)
946,ALAGNA,POINT (8.8921526 45.1655328)
947,BUBBIANO,POINT (9.0056116 45.3288345)
948,GAVERINA TERME,POINT (9.883512 45.7559931)
949,ARENA PO,POINT (9.3857662 45.0841537)
950,MORTARA,POINT (8.7438691 45.2469628)
951,COCQUIO - TREVISAGO,POINT (8.7030349 45.8635499)
952,COVO,POINT (9.7874231 45.5026222)
953,BARZANO',POINT (9.3118763 45.7302941)
954,SETTIMO MILANESE,POINT (9.054884 45.483485)
955,CARBONARA AL TICINO,POINT (9.0824911 45.1738189)
956,SOMMA LOMBARDO,POINT (8.6852884 45.6684618)
957,GOLFERENZO,POINT (9.3062025 44.9613872)
958,MELLO,POINT (9.5410351 46.170551)
959,ANGOLO TERME,POINT (10.134887 45.90298)
960,SILVANO PIETRA,POINT (8.9469504 45.0565693)
961,BESANO,POINT (8.9025635 45.88714)
962,LIERNA,POINT (9.3199196 45.9601478)
963,CASTELVECCANA,POINT (8.6660038 45.9443817)
964,GADESCO PIEVE DELMONA,POINT (10.1174492 45.1676633)
965,MONTEBELLO DELLA BATTAGLIA,POINT (9.0976459 45.0052915)
966,SEMIANA,POINT (8.7285455 45.140744)
967,FALOPPIO,POINT (8.969928 45.8087851)
968,CASSINA RIZZARDI,POINT (9.0270874 45.749643)
969,CASTELLO DELL'ACQUA,POINT (10.009071 46.1318291)
970,ORIGGIO,POINT (9.0071357 45.592387)
971,TALEGGIO,POINT (9.5729029 45.90236)
972,CAZZAGO SAN MARTINO,POINT (10.0323173 45.5655234)
973,PALAZZAGO,POINT (9.535884 45.7533234)
974,VAILATE,POINT (9.6011973 45.4572663)
975,FINO MORNASCO,POINT (9.0555181 45.7422646)
976,GROSOTTO,POINT (10.2270954 46.2955955)
977,GESSATE,POINT (9.4307773 45.5575809)
978,TAVAZZANO CON VILLAVESCO,POINT (9.410312 45.3339663)
979,CASTANO PRIMO,POINT (8.7604284 45.548296)
980,SAMARATE,POINT (8.7738541 45.6213038)
